clave,estado,claves,genero,clavep,condicion,clavesino,descripcion,claver,resultado,clavesec,detectado
1,AGUASCALIENTES,1,MUJER,1,AMBULATORIO,1,SI,1,Positivo SARS-CoV-2,1,CRUZ ROJA
2,BAJA CALIFORNIA,2,HOMBRE,2,HOSPITALIZADO,2,NO,2,No positivo SARS-CoV-2,2,DIF
3,BAJA CALIFORNIA SUR,99,NO ESPECIFICADO,99,NO ESPECIFICADO,97,NO APLICA,3,Resultado pendiente,3,ESTATAL
4,CAMPECHE,,,,,98,SE IGNORA,,,4,IMSS
5,COAHUILA DE ZARAGOZA,,,,,99,NO ESPECIFICADO,,,5,IMSS-BIENESTAR
6,COLIMA,,,,,,,,,6,ISSSTE
7,CHIAPAS,,,,,,,,,7,MUNICIPAL
8,CHIHUAHUA,,,,,,,,,8,PEMEX
9,CIUDAD DE MÉXICO,,,,,,,,,9,PRIVADA
10,DURANGO,,,,,,,,,10,SEDENA
11,GUANAJUATO,,,,,,,,,11,SEMAR
12,GUERRERO,,,,,,,,,12,SSA
13,HIDALGO,,,,,,,,,13,UNIVERSITARIO
14,JALISCO,,,,,,,,,99,NO ESPECIFICADO
15,MÉXICO,,,,,,,,,,
16,MICHOACÁN DE OCAMPO,,,,,,,,,,
17,MORELOS,,,,,,,,,,
18,NAYARIT,,,,,,,,,,
19,NUEVO LEÓN,,,,,,,,,,
20,OAXACA,,,,,,,,,,
21,PUEBLA,,,,,,,,,,
22,QUERÉTARO,,,,,,,,,,
23,QUINTANA ROO,,,,,,,,,,
24,SAN LUIS POTOSÍ,,,,,,,,,,
25,SINALOA,,,,,,,,,,
26,SONORA,,,,,,,,,,
27,TABASCO,,,,,,,,,,
28,TAMAULIPAS,,,,,,,,,,
29,TLAXCALA,,,,,,,,,,
30,VERACRUZ DE IGNACIO DE LA LLAVE,,,,,,,,,,
31,YUCATÁN,,,,,,,,,,
32,ZACATECAS,,,,,,,,,,
36,ESTADOS UNIDOS MEXICANOS,,,,,,,,,,
97,NO APLICA,,,,,,,,,,
98,SE IGNORA,,,,,,,,,,
99,NO ESPECIFICADO,,,,,,,,,,
